Baseline	1	0.4667	33.0000	21.0000	33.0000
Baseline	2	0.2553	29.0000	12.0000	29.0000
Baseline	3	0.1067	16.0000	8.0000	16.0000
Baseline	4	0.2000	23.0000	11.0000	23.0000
Baseline	5	0.0488	134.0000	2.0000	134.0000
Baseline	6	0.0000	160.0000	0.0000	160.0000
Baseline	8	0.3448	204.0000	20.0000	204.0000
Baseline	9	0.2069	221.0000	6.0000	221.0000
Baseline	10	0.3929	116.0000	11.0000	116.0000
Baseline	AVG	0.1685	78.0000	7.5833	78.0000
BasePred	1	0.4000	38.0000	18.0000	38.0000
BasePred	2	0.2553	28.0000	12.0000	28.0000
BasePred	3	0.1600	18.0000	12.0000	18.0000
BasePred	4	0.2000	23.0000	11.0000	23.0000
BasePred	5	0.0488	133.0000	2.0000	133.0000
BasePred	6	0.0660	140.0000	7.0000	140.0000
BasePred	8	0.3276	207.0000	19.0000	207.0000
BasePred	9	0.2069	221.0000	6.0000	221.0000
BasePred	10	0.4286	113.0000	12.0000	113.0000
BasePred	AVG	0.1744	76.7500	8.2500	76.7500
cluster1	1	0.4667	7.0000	21.0000	7.0000
cluster1	2	0.2340	28.0000	11.0000	28.0000
cluster1	3	0.1067	117.0000	8.0000	117.0000
cluster1	4	0.3091	35.0000	17.0000	35.0000
cluster1	5	0.0488	96.0000	2.0000	96.0000
cluster1	6	0.3396	54.0000	36.0000	54.0000
cluster1	8	0.2931	124.0000	17.0000	124.0000
cluster1	9	0.5172	73.0000	15.0000	73.0000
cluster1	10	0.6786	97.0000	19.0000	97.0000
cluster1	AVG	0.2495	52.5833	12.1667	52.5833
cluster2	1	0.4667	7.0000	21.0000	7.0000
cluster2	2	0.2340	19.0000	11.0000	19.0000
cluster2	3	0.1067	117.0000	8.0000	117.0000
cluster2	4	0.3273	30.0000	18.0000	30.0000
cluster2	5	0.0244	81.0000	1.0000	81.0000
cluster2	6	0.3208	41.0000	34.0000	41.0000
cluster2	8	0.2931	124.0000	17.0000	124.0000
cluster2	9	0.5172	73.0000	15.0000	73.0000
cluster2	10	0.5714	34.0000	16.0000	34.0000
cluster2	AVG	0.2385	43.8333	11.7500	43.8333
cluster3	1	0.4222	5.0000	19.0000	5.0000
cluster3	2	0.1277	8.0000	6.0000	8.0000
cluster3	3	0.0800	23.0000	6.0000	23.0000
cluster3	4	0.0545	4.0000	3.0000	4.0000
cluster3	5	0.0000	39.0000	0.0000	39.0000
cluster3	6	0.2358	6.0000	25.0000	6.0000
cluster3	8	0.0862	31.0000	5.0000	31.0000
cluster3	9	0.2759	23.0000	8.0000	23.0000
cluster3	10	0.5357	26.0000	15.0000	26.0000
cluster3	AVG	0.1515	13.7500	7.2500	13.7500
cluster4	1	0.4667	7.0000	21.0000	7.0000
cluster4	2	0.2340	28.0000	11.0000	28.0000
cluster4	3	0.1067	117.0000	8.0000	117.0000
cluster4	4	0.3091	35.0000	17.0000	35.0000
cluster4	5	0.0488	96.0000	2.0000	96.0000
cluster4	6	0.3396	54.0000	36.0000	54.0000
cluster4	8	0.2931	124.0000	17.0000	124.0000
cluster4	9	0.5172	73.0000	15.0000	73.0000
cluster4	10	0.6786	98.0000	19.0000	98.0000
cluster4	AVG	0.2495	52.6667	12.1667	52.6667
cluster5	1	0.2889	3.0000	13.0000	3.0000
cluster5	2	0.0851	3.0000	4.0000	3.0000
cluster5	3	0.0533	11.0000	4.0000	11.0000
cluster5	4	0.1636	7.0000	9.0000	7.0000
cluster5	5	0.0244	18.0000	1.0000	18.0000
cluster5	6	0.1038	7.0000	11.0000	7.0000
cluster5	8	0.0517	21.0000	3.0000	21.0000
cluster5	9	0.1724	14.0000	5.0000	14.0000
cluster5	10	0.3929	5.0000	11.0000	5.0000
cluster5	AVG	0.1113	7.4167	5.0833	7.4167
CosineEgrep	1	0.0000	2.0000	0.0000	2.0000
CosineEgrep	2	0.0426	1.0000	2.0000	1.0000
CosineEgrep	3	0.0000	23.0000	0.0000	23.0000
CosineEgrep	4	0.0000	17.0000	0.0000	17.0000
CosineEgrep	5	0.0244	20.0000	1.0000	20.0000
CosineEgrep	6	0.0189	12.0000	2.0000	12.0000
CosineEgrep	8	0.0000	7.0000	0.0000	7.0000
CosineEgrep	9	0.0000	7.0000	0.0000	7.0000
CosineEgrep	10	0.0714	5.0000	2.0000	5.0000
CosineEgrep	AVG	0.0131	7.8333	0.5833	7.8333
EXTERNAL	1	0.4889	51.0000	22.0000	51.0000
EXTERNAL	2	0.4255	40.0000	20.0000	40.0000
EXTERNAL	3	0.1200	71.0000	9.0000	71.0000
EXTERNAL	4	0.1091	33.0000	6.0000	33.0000
EXTERNAL	5	0.0488	125.0000	2.0000	125.0000
EXTERNAL	6	0.0000	154.0000	0.0000	154.0000
EXTERNAL	8	0.2759	201.0000	16.0000	201.0000
EXTERNAL	9	0.2759	216.0000	8.0000	216.0000
EXTERNAL	10	0.4643	96.0000	13.0000	96.0000
EXTERNAL	AVG	0.1840	82.2500	8.0000	82.2500
NormEgrep	1	0.0000	41.0000	0.0000	41.0000
NormEgrep	2	0.0426	43.0000	2.0000	43.0000
NormEgrep	3	0.0000	213.0000	0.0000	213.0000
NormEgrep	4	0.0364	149.0000	2.0000	149.0000
